ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11003125,JA331151,7/2/2017 4:30,086XX S EXCHANGE AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,423,4,10,46,5,1197308,1848351,2017,7/9/2017 15:51,41.73873088,-87.55268023,"(41.738730879, -87.552680229)"
11003124,JA331159,7/2/2017 4:30,016XX N MANGO AVE,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,2531,25,29,25,08A,1137822,1910405,2017,7/9/2017 15:51,41.91029099,-87.76913418,"(41.91029099, -87.769134183)"
11003123,JA331112,7/2/2017 4:00,018XX N MASON AVE,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,FALSE,FALSE,2531,25,29,25,04B,1136463,1911475,2017,7/9/2017 15:51,41.91325162,-87.77410107,"(41.91325162, -87.774101073)"
11003122,JA331161,7/2/2017 5:00,036XX S MICHIGAN AVE,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,SIDEWALK,FALSE,FALSE,213,2,3,35,3,1177784,1881223,2017,7/9/2017 15:51,41.82939869,-87.62321675,"(41.829398692, -87.623216746)"
11003121,JA331118,7/2/2017 3:45,085XX S PRAIRIE AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,FALSE,FALSE,632,6,6,44,3,1179525,1848369,2017,7/9/2017 15:51,41.73920446,-87.61783219,"(41.739204459, -87.617832192)"
11003113,JA331111,7/2/2017 3:32,009XX W 51ST ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,FALSE,FALSE,934,9,20,61,04A,1170844,1871012,2017,7/9/2017 15:51,41.80153328,-87.64897763,"(41.801533278, -87.648977629)"
11003112,JA331142,7/2/2017 4:58,077XX S LOWE AVE,031A,ROBBERY,ARMED: HANDGUN,VEHICLE NON-COMMERCIAL,FALSE,FALSE,621,6,17,71,3,1173307,1853614,2017,7/9/2017 15:51,41.75373702,-87.64045901,"(41.75373702, -87.640459005)"
11003111,JA331055,7/2/2017 2:45,002XX S CICERO AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,TRUE,1533,15,28,25,08B,1144430,1898404,2017,7/9/2017 15:51,41.87723703,-87.74516087,"(41.877237033, -87.745160873)"
11003110,JA331095,7/2/2017 3:33,050XX W WASHINGTON BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,1533,15,28,25,08B,1142765,1900033,2017,7/9/2017 15:51,41.88173836,-87.75123379,"(41.881738359, -87.751233791)"
11003109,JA331106,7/2/2017 3:45,079XX S LANGLEY AVE,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,624,6,6,44,08B,1182269,1852613,2017,7/9/2017 15:51,41.75078742,-87.60764763,"(41.750787418, -87.607647625)"
11003106,JA331127,7/2/2017 4:22,091XX S DREXEL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,413,4,8,47,14,1184148,1844744,2017,7/9/2017 15:51,41.72915034,-87.60100752,"(41.729150335, -87.601007524)"
11003105,JA331100,7/2/2017 3:44,016XX E 83RD ST,1020,ARSON,BY FIRE,STREET,FALSE,FALSE,411,4,8,45,9,1188623,1850274,2017,7/9/2017 15:51,41.74421956,-87.58443843,"(41.74421956, -87.584438432)"
