ID,ID2,GEOID,Tot_Homes,7500,12500,17500,22500,27500,32500,37500,45000,55000,65000,75000,85000,95000,112500,137500,162500,187500,225000,275000,350000,450000,625000,875000,1250000,1750000,2000000,Avg_Value
1500000US170310106004,170310106004,"Block Group 4, Census Tract 106, Cook County, Illinois",91,0,0,0,0,0,8,0,0,0,0,0,27,0,0,0,0,0,14,21,0,21,0,0,0,0,0,"$230,000.00"
1500000US170310107011,170310107011,"Block Group 1, Census Tract 107.01, Cook County, Illinois",266,0,0,0,0,0,0,0,0,0,0,0,39,0,44,0,0,28,9,37,58,38,13,0,0,0,0,"$267,819.55"
1500000US170310107012,170310107012,"Block Group 2, Census Tract 107.01, Cook County, Illinois",504,8,0,0,0,0,0,0,0,0,27,7,9,51,48,25,81,39,47,74,75,0,13,0,0,0,0,"$203,497.02"
1500000US170310107021,170310107021,"Block Group 1, Census Tract 107.02, Cook County, Illinois",164,0,0,0,0,0,0,0,0,0,0,10,0,0,15,15,14,22,18,23,47,0,0,0,0,0,0,"$230,030.49"
1500000US170310107022,170310107022,"Block Group 2, Census Tract 107.02, Cook County, Illinois",72,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,18,22,0,0,0,0,0,0,0,"$201,111.11"
1500000US170310107023,170310107023,"Block Group 3, Census Tract 107.02, Cook County, Illinois",178,10,0,0,0,0,0,0,0,0,0,12,34,0,47,0,41,9,17,0,8,0,0,0,0,0,0,"$135,547.75"
1500000US170310107024,170310107024,"Block Group 4, Census Tract 107.02, Cook County, Illinois",93,8,0,0,0,0,0,0,9,10,0,13,9,11,11,0,6,0,0,0,0,8,8,0,0,0,0,"$157,123.66"
1500000US170310201001,170310201001,"Block Group 1, Census Tract 201, Cook County, Illinois",455,0,0,0,0,10,0,0,0,0,16,17,80,17,9,27,39,12,71,34,91,6,21,0,0,5,0,"$233,115.38"
1500000US170310201002,170310201002,"Block Group 2, Census Tract 201, Cook County, Illinois",333,0,0,0,0,0,0,11,8,31,9,8,62,13,68,14,60,4,27,0,9,0,0,0,0,0,9,"$172,575.08"
1500000US170310202001,170310202001,"Block Group 1, Census Tract 202, Cook County, Illinois",380,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0,0,0,18,76,166,71,35,0,0,0,0,"$363,585.53"
